9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
32	 0.30	 0.40	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.30	 0.40	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
33	 0.30	 0.50	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.30	 0.30	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
34	 0.30	 0.60	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.30	 0.20	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
35	 0.30	 0.70	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.30	 0.10	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
36	 0.30	 0.80	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.30	 0.00	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
37	 0.40	 0.00	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.40	 0.80	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
38	 0.40	 0.10	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 0.40	 0.70	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
39	 0.40	 0.20	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.40	 0.60	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
40	 0.40	 0.30	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.40	 0.50	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
41	 0.40	 0.40	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.40	 0.40	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
42	 0.40	 0.50	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.40	 0.30	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
43	 0.40	 0.60	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.40	 0.20	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
44	 0.40	 0.70	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.40	 0.10	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
45	 0.40	 0.80	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.40	 0.00	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
46	 0.50	 0.00	 1	 0.886	 3	 65520	 31.29	 0.957	 -0.633	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168	 0.50	 0.80	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168 
47	 0.50	 0.10	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 0.50	 0.70	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
48	 0.50	 0.20	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.50	 0.60	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
49	 0.50	 0.30	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.50	 0.50	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
50	 0.50	 0.40	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.50	 0.40	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
51	 0.50	 0.50	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.50	 0.30	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
52	 0.50	 0.60	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.50	 0.20	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
53	 0.50	 0.70	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 0.50	 0.10	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
54	 0.50	 0.80	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.50	 0.00	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
55	 0.60	 0.00	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 0.60	 0.80	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
56	 0.60	 0.10	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.60	 0.70	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
57	 0.60	 0.20	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.60	 0.60	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
58	 0.60	 0.30	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.60	 0.50	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
59	 0.60	 0.40	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.60	 0.40	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
60	 0.60	 0.50	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.60	 0.30	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
61	 0.60	 0.60	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.60	 0.20	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
62	 0.60	 0.70	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.60	 0.10	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
63	 0.60	 0.80	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.60	 0.00	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
64	 0.70	 0.00	 1	 0.886	 3	 65520	 28.36	 0.957	 -0.633	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141	 0.70	 0.80	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141 
65	 0.70	 0.10	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.70	 0.70	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
66	 0.70	 0.20	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 0.70	 0.60	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
67	 0.70	 0.30	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.70	 0.50	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
68	 0.70	 0.40	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.70	 0.40	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
69	 0.70	 0.50	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.70	 0.30	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
70	 0.70	 0.60	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.70	 0.20	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
71	 0.70	 0.70	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.70	 0.10	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
72	 0.70	 0.80	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.70	 0.00	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
73	 0.80	 0.00	 1	 0.886	 3	 65520	 26.41	 0.957	 -0.633	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125	 0.80	 0.80	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125 
74	 0.80	 0.10	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 0.80	 0.70	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
75	 0.80	 0.20	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 0.80	 0.60	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
76	 0.80	 0.30	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.80	 0.50	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
77	 0.80	 0.40	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.80	 0.40	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
78	 0.80	 0.50	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.80	 0.30	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
79	 0.80	 0.60	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.80	 0.20	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
80	 0.80	 0.70	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.80	 0.10	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
81	 0.80	 0.80	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.80	 0.00	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
82	 0.90	 0.00	 1	 0.885	 3	 65520	 25.43	 0.957	 -0.633	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118	 0.90	 0.80	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118 
83	 0.90	 0.10	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 0.90	 0.70	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
84	 0.90	 0.20	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.90	 0.60	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
85	 0.90	 0.30	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.90	 0.50	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
86	 0.90	 0.40	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.90	 0.40	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
87	 0.90	 0.50	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.90	 0.30	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
88	 0.90	 0.60	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.90	 0.20	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
89	 0.90	 0.70	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.90	 0.10	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
90	 0.90	 0.80	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.90	 0.00	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
91	 1.00	 0.00	 1	 0.885	 3	 65520	 23.47	 0.957	 -0.633	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104	 1.00	 0.80	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104 
92	 1.00	 0.10	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 1.00	 0.70	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
93	 1.00	 0.20	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 1.00	 0.60	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
94	 1.00	 0.30	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 1.00	 0.50	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
95	 1.00	 0.40	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 1.00	 0.40	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
96	 1.00	 0.50	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 1.00	 0.30	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
97	 1.00	 0.60	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 1.00	 0.20	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
98	 1.00	 0.70	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 1.00	 0.10	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
99	 1.00	 0.80	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 1.00	 0.00	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
100	 1.10	 0.00	 1	 0.885	 3	 65520	 22.49	 0.957	 -0.633	 0.654	 0.125	 0.187	 0.091	 0.125	 0.097	 1.10	 0.80	 0.654	 0.125	 0.187	 0.091	 0.125	 0.097 
101	 1.10	 0.10	 1	 0.886	 3	 65520	 26.41	 0.957	 -0.633	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125	 1.10	 0.70	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125 
102	 1.10	 0.20	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 1.10	 0.60	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
103	 1.10	 0.30	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 1.10	 0.50	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
104	 1.10	 0.40	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 1.10	 0.40	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
105	 1.10	 0.50	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 1.10	 0.30	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
106	 1.10	 0.60	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 1.10	 0.20	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
107	 1.10	 0.70	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 1.10	 0.10	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
108	 1.10	 0.80	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 1.10	 0.00	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
109	 1.20	 0.00	 1	 0.885	 3	 65520	 20.53	 0.957	 -0.633	 0.679	 0.118	 0.176	 0.081	 0.118	 0.085	 1.20	 0.80	 0.679	 0.118	 0.176	 0.081	 0.118	 0.085 
110	 1.20	 0.10	 1	 0.885	 3	 65520	 24.45	 0.957	 -0.633	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110	 1.20	 0.70	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110 
111	 1.20	 0.20	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 1.20	 0.60	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
112	 1.20	 0.30	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 1.20	 0.50	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
113	 1.20	 0.40	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 1.20	 0.40	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
114	 1.20	 0.50	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 1.20	 0.30	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
115	 1.20	 0.60	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 1.20	 0.20	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
116	 1.20	 0.70	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 1.20	 0.10	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
117	 1.20	 0.80	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 1.20	 0.00	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
118	 1.30	 0.00	 1	 0.884	 3	 65520	 19.54	 0.957	 -0.633	 0.691	 0.115	 0.171	 0.077	 0.115	 0.080	 1.30	 0.80	 0.691	 0.115	 0.171	 0.077	 0.115	 0.080 
119	 1.30	 0.10	 1	 0.885	 3	 65520	 23.47	 0.957	 -0.633	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104	 1.30	 0.70	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104 
120	 1.30	 0.20	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 1.30	 0.60	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
