60	 96
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
27	0.00	6.76	0	0.064	203	457	115.51	-0.144	-0.701	0.490	 -0.013	 -0.013	 0.510	
28	0.00	7.02	0	0.010	254	529	60.55	0.532	-0.089	0.503	 -0.006	 -0.006	 0.497	
29	0.00	7.28	0	0.071	174	403	119.05	0.157	-0.412	0.490	 -0.016	 -0.016	 0.510	
30	0.00	7.54	0	0.070	206	526	82.54	-0.380	-0.258	0.482	 0.005	 0.005	 0.518	
31	0.00	7.80	0	0.077	228	481	118.49	0.184	-0.842	0.489	 -0.017	 -0.017	 0.511	
32	0.00	8.06	0	0.028	275	531	104.56	-0.125	-0.405	0.494	 -0.003	 -0.003	 0.506	
33	0.00	8.32	0	0.032	187	397	116.86	-0.199	-0.565	0.495	 -0.007	 -0.007	 0.505	
34	0.00	8.58	0	0.074	210	464	115.17	-0.013	-0.700	0.488	 -0.015	 -0.015	 0.512	
35	0.00	8.84	0	0.081	214	496	115.95	0.363	-0.323	0.487	 -0.017	 -0.017	 0.513	
36	0.00	9.10	0	0.082	219	516	108.70	0.318	0.174	0.483	 -0.013	 -0.013	 0.517	
37	0.00	9.36	0	0.074	216	486	112.98	-0.201	-0.706	0.487	 -0.014	 -0.014	 0.513	
38	0.00	9.62	0	0.072	214	447	114.64	-0.042	-0.955	0.488	 -0.014	 -0.014	 0.512	
39	0.00	9.88	0	0.079	217	491	111.75	-0.172	-0.497	0.485	 -0.014	 -0.014	 0.515	
40	0.00	10.14	0	0.069	211	463	107.82	-0.560	-0.422	0.485	 -0.010	 -0.010	 0.515	
41	0.00	10.40	0	0.040	199	403	100.42	-0.367	-0.502	0.491	 -0.004	 -0.004	 0.509	
42	0.00	10.66	0	0.066	240	535	117.10	0.043	-0.765	0.490	 -0.014	 -0.014	 0.510	
43	0.00	10.92	0	0.068	241	517	109.54	0.423	0.054	0.486	 -0.011	 -0.011	 0.514	
44	0.00	11.18	0	0.065	244	521	106.51	0.137	-0.448	0.486	 -0.009	 -0.009	 0.514	
45	0.00	11.44	0	0.030	208	506	94.09	0.228	-0.830	0.492	 -0.001	 -0.001	 0.508	
46	0.00	11.70	0	0.072	238	515	108.87	0.229	-0.079	0.485	 -0.011	 -0.011	 0.515	
47	0.00	11.96	0	0.060	233	489	115.48	0.091	-0.498	0.490	 -0.012	 -0.012	 0.510	
48	0.00	12.22	0	0.044	241	457	116.81	-0.009	-0.784	0.493	 -0.009	 -0.009	 0.507	
49	0.00	12.48	0	0.038	212	414	128.53	-0.238	-0.751	0.498	 -0.010	 -0.010	 0.502	
50	0.00	12.74	0	0.025	212	381	122.31	-0.106	-0.938	0.497	 -0.006	 -0.006	 0.503	
51	0.00	13.00	0	0.065	248	492	108.99	0.183	-0.159	0.487	 -0.010	 -0.010	 0.513	
52	0.00	13.26	0	0.054	245	485	112.84	0.173	-0.294	0.490	 -0.010	 -0.010	 0.510	
53	0.00	13.52	0	0.061	233	479	119.49	0.204	-0.581	0.492	 -0.013	 -0.013	 0.508	
54	0.00	13.78	0	0.040	249	467	89.29	-0.298	-0.714	0.490	 0.000	 0.000	 0.510	
55	0.00	14.04	0	0.048	228	469	111.56	0.243	-0.535	0.491	 -0.008	 -0.008	 0.509	
56	0.00	14.30	0	0.058	211	470	119.34	0.356	-0.381	0.492	 -0.013	 -0.013	 0.508	
57	0.00	14.56	0	0.056	221	480	110.07	-0.042	-0.482	0.489	 -0.009	 -0.009	 0.511	
58	0.00	14.82	0	0.056	239	483	80.27	0.276	-0.410	0.487	 0.005	 0.005	 0.513	
59	0.00	15.08	0	0.048	228	470	113.78	-0.207	-0.655	0.492	 -0.009	 -0.009	 0.508	
60	0.00	15.34	0	0.035	225	458	116.26	0.013	-0.595	0.495	 -0.007	 -0.007	 0.505	
61	0.26	0.00	0	0.068	208	408	131.54	0.230	-0.648	0.498	 -0.017	 -0.017	 0.502	
62	0.26	0.26	0	0.076	204	459	124.69	0.232	-0.896	0.493	 -0.019	 -0.019	 0.507	
63	0.26	0.52	0	0.057	201	447	129.52	1.265	1.719	0.497	 -0.014	 -0.014	 0.503	
64	0.26	0.78	0	0.073	221	478	128.86	0.201	-0.703	0.496	 -0.019	 -0.019	 0.504	
65	0.26	1.04	0	0.086	188	430	127.98	0.638	-0.459	0.495	 -0.022	 -0.022	 0.505	
66	0.26	1.30	0	0.062	208	383	123.32	0.088	-1.116	0.494	 -0.015	 -0.015	 0.506	
67	0.26	1.56	0	0.050	214	434	106.37	-0.098	-1.061	0.489	 -0.007	 -0.007	 0.511	
68	0.26	1.82	0	0.010	214	606	52.79	0.283	-0.210	0.501	 -0.002	 -0.002	 0.499	
69	0.26	2.08	0	0.129	297	1003	175.08	1.914	3.060	0.534	 -0.006	 -0.006	 0.466	
70	0.26	2.34	0	0.048	203	462	121.67	0.293	-0.493	0.495	 -0.011	 -0.011	 0.505	
71	0.26	2.60	0	0.144	222	892	90.09	2.588	6.833	0.461	 -0.000	 -0.000	 0.539	
72	0.26	2.86	0	0.023	197	476	93.95	0.155	-0.366	0.494	 -0.001	 -0.001	 0.506	
73	0.26	3.12	0	0.037	209	459	116.63	0.152	-0.530	0.494	 -0.008	 -0.008	 0.506	
74	0.26	3.38	0	0.052	231	504	119.14	0.695	0.155	0.493	 -0.011	 -0.011	 0.507	
75	0.26	3.64	0	0.036	221	584	123.17	0.221	-0.195	0.496	 -0.008	 -0.008	 0.504	
76	0.26	3.90	0	0.069	206	478	130.82	0.659	-0.029	0.497	 -0.018	 -0.018	 0.503	
77	0.26	4.16	0	0.083	210	489	132.46	-0.191	-0.860	0.498	 -0.022	 -0.022	 0.502	
78	0.26	4.42	0	0.077	191	444	126.07	1.312	2.121	0.494	 -0.019	 -0.019	 0.506	
79	0.26	4.68	0	0.010	210	521	57.27	0.483	-0.196	0.509	 -0.019	 -0.019	 0.491	
80	0.26	4.94	0	0.010	206	495	48.29	0.669	0.264	0.502	 -0.018	 -0.018	 0.498	
81	0.26	5.20	0	0.010	220	501	51.12	0.118	-0.602	0.504	 -0.017	 -0.017	 0.496	
82	0.26	5.46	0	0.073	207	448	115.21	0.214	-0.359	0.488	 -0.015	 -0.015	 0.512	
83	0.26	5.72	0	0.059	197	456	129.63	1.134	2.369	0.497	 -0.015	 -0.015	 0.503	
84	0.26	5.98	0	0.010	198	502	72.76	0.572	0.146	0.510	 -0.007	 -0.007	 0.490	
85	0.26	6.24	0	0.080	194	463	133.67	0.251	-0.733	0.499	 -0.021	 -0.021	 0.501	
86	0.26	6.50	0	0.081	212	465	132.03	0.248	-0.283	0.498	 -0.021	 -0.021	 0.502	
87	0.26	6.76	0	0.048	188	456	121.72	1.199	2.512	0.495	 -0.011	 -0.011	 0.505	
88	0.26	7.02	0	0.107	192	494	112.60	0.026	-0.477	0.480	 -0.020	 -0.020	 0.520	
89	0.26	7.28	0	0.010	189	578	57.22	0.577	-0.370	0.508	 -0.018	 -0.018	 0.492	
90	0.26	7.54	0	0.062	232	543	100.19	0.859	1.746	0.485	 -0.006	 -0.006	 0.515	
91	0.26	7.80	0	0.069	205	488	115.52	-0.055	-0.797	0.489	 -0.014	 -0.014	 0.511	
92	0.26	8.06	0	0.054	226	456	94.98	-0.167	-1.041	0.486	 -0.002	 -0.002	 0.514	
93	0.26	8.32	0	0.070	212	440	111.75	-0.293	-0.557	0.487	 -0.012	 -0.012	 0.513	
94	0.26	8.58	0	0.074	206	454	112.15	-0.282	-0.691	0.486	 -0.013	 -0.013	 0.514	
95	0.26	8.84	0	0.095	212	546	113.67	0.465	-0.472	0.483	 -0.018	 -0.018	 0.517	
96	0.26	9.10	0	0.087	232	531	117.30	0.135	-0.979	0.487	 -0.019	 -0.019	 0.513	
97	0.26	9.36	0	0.085	212	484	117.24	-0.050	-0.818	0.487	 -0.018	 -0.018	 0.513	
98	0.26	9.62	0	0.079	220	491	114.65	-0.036	-0.823	0.487	 -0.016	 -0.016	 0.513	
99	0.26	9.88	0	0.080	222	500	112.56	-0.155	-0.576	0.485	 -0.015	 -0.015	 0.515	
100	0.26	10.14	0	0.041	226	436	130.19	-0.050	-0.898	0.498	 -0.010	 -0.010	 0.502	
101	0.26	10.40	0	0.059	204	426	106.21	-0.567	-0.346	0.487	 -0.008	 -0.008	 0.513	
102	0.26	10.66	0	0.078	231	508	112.52	0.280	0.221	0.486	 -0.014	 -0.014	 0.514	
103	0.26	10.92	0	0.082	224	512	115.93	0.098	-0.713	0.487	 -0.017	 -0.017	 0.513	
104	0.26	11.18	0	0.088	243	596	121.92	0.427	-0.515	0.490	 -0.021	 -0.021	 0.510	
105	0.26	11.44	0	0.084	227	610	108.56	0.834	1.328	0.483	 -0.013	 -0.013	 0.517	
106	0.26	11.70	0	0.056	236	502	115.29	-0.034	-0.833	0.491	 -0.011	 -0.011	 0.509	
107	0.26	11.96	0	0.053	241	528	118.70	0.163	-0.610	0.493	 -0.011	 -0.011	 0.507	
108	0.26	12.22	0	0.055	239	452	115.58	-0.421	-0.747	0.491	 -0.011	 -0.011	 0.509	
109	0.26	12.48	0	0.045	205	405	134.06	0.018	-0.704	0.500	 -0.012	 -0.012	 0.500	
110	0.26	12.74	0	0.048	236	466	101.95	-0.251	-0.424	0.489	 -0.005	 -0.005	 0.511	
111	0.26	13.00	0	0.061	236	486	115.62	0.183	0.003	0.490	 -0.012	 -0.012	 0.510	
112	0.26	13.26	0	0.060	235	471	111.17	-0.111	-0.411	0.489	 -0.010	 -0.010	 0.511	
113	0.26	13.52	0	0.058	229	469	115.20	-0.049	-0.528	0.490	 -0.011	 -0.011	 0.510	
114	0.26	13.78	0	0.039	232	437	106.03	-0.435	-0.487	0.492	 -0.005	 -0.005	 0.508	
115	0.26	14.04	0	0.055	218	471	115.00	0.031	-0.670	0.491	 -0.011	 -0.011	 0.509	
116	0.26	14.30	0	0.054	220	487	117.14	-0.113	-0.806	0.492	 -0.011	 -0.011	 0.508	
117	0.26	14.56	0	0.046	217	475	113.65	-0.143	-0.718	0.492	 -0.009	 -0.009	 0.508	
118	0.26	14.82	0	0.048	217	462	108.31	-0.108	-0.475	0.490	 -0.007	 -0.007	 0.510	
119	0.26	15.08	0	0.043	225	484	104.04	-0.127	-0.438	0.490	 -0.005	 -0.005	 0.510	
120	0.26	15.34	0	0.039	238	495	110.72	0.481	-0.234	0.493	 -0.007	 -0.007	 0.507	
121	0.52	0.00	0	0.058	225	414	129.17	0.270	-0.326	0.497	 -0.015	 -0.015	 0.503	
122	0.52	0.26	0	0.010	203	380	47.46	0.264	-0.520	0.501	 -0.017	 -0.017	 0.499	
123	0.52	0.52	0	0.047	229	425	132.06	0.067	-0.895	0.499	 -0.012	 -0.012	 0.501	
124	0.52	0.78	0	0.084	218	507	122.94	-0.058	-0.237	0.491	 -0.020	 -0.020	 0.509	
125	0.52	1.04	0	0.094	195	426	124.13	0.726	-0.474	0.491	 -0.023	 -0.023	 0.509	
126	0.52	1.30	0	0.080	205	365	132.95	0.703	0.248	0.499	 -0.021	 -0.021	 0.501	
127	0.52	1.56	0	0.057	214	409	121.51	-0.023	-1.051	0.493	 -0.013	 -0.013	 0.507	
128	0.52	1.82	0	0.209	213	879	120.71	1.314	0.884	0.472	 -0.051	 -0.051	 0.528	
129	0.52	2.08	0	0.010	236	602	67.82	0.694	0.668	0.508	 -0.008	 -0.008	 0.492	
130	0.52	2.34	0	0.065	197	423	124.76	0.027	-0.942	0.494	 -0.016	 -0.016	 0.506	
131	0.52	2.60	0	0.100	199	698	97.49	1.323	2.567	0.474	 -0.007	 -0.007	 0.526	
132	0.52	2.86	0	0.080	213	451	130.82	0.622	0.115	0.497	 -0.021	 -0.021	 0.503	
133	0.52	3.12	0	0.010	203	468	54.03	0.058	-0.900	0.504	 -0.013	 -0.013	 0.496	
134	0.52	3.38	0	0.055	221	540	123.48	0.490	-0.425	0.494	 -0.013	 -0.013	 0.506	
135	0.52	3.64	0	0.035	199	511	50.89	-0.066	0.075	0.498	 0.009	 0.009	 0.502	
136	0.52	3.90	0	0.098	175	394	125.27	0.343	-0.640	0.491	 -0.024	 -0.024	 0.509	
137	0.52	4.16	0	0.038	205	623	52.91	-0.217	0.229	0.497	 0.009	 0.009	 0.503	
138	0.52	4.42	0	0.010	209	474	48.90	0.146	-0.789	0.502	 -0.012	 -0.012	 0.498	
139	0.52	4.68	0	0.099	195	457	131.14	0.355	-0.637	0.497	 -0.026	 -0.026	 0.503	
140	0.52	4.94	0	0.033	187	495	83.59	-0.334	0.707	0.492	 0.002	 0.002	 0.508	
141	0.52	5.20	0	0.076	208	498	102.84	0.585	1.032	0.482	 -0.009	 -0.009	 0.518	
142	0.52	5.46	0	0.040	197	407	108.82	-0.370	-0.797	0.492	 -0.006	 -0.006	 0.508	
143	0.52	5.72	0	0.055	194	420	108.32	0.377	-0.169	0.489	 -0.008	 -0.008	 0.511	
144	0.52	5.98	0	0.091	188	471	134.30	0.246	-0.616	0.499	 -0.024	 -0.024	 0.501	
145	0.52	6.24	0	0.010	198	461	46.56	0.290	-0.735	0.501	 -0.023	 -0.023	 0.499	
146	0.52	6.50	0	0.054	227	470	125.86	-0.090	-0.632	0.496	 -0.013	 -0.013	 0.504	
147	0.52	6.76	0	0.044	203	459	119.34	0.051	-0.086	0.494	 -0.010	 -0.010	 0.506	
148	0.52	7.02	0	0.031	194	667	104.32	0.477	0.288	0.493	 -0.004	 -0.004	 0.507	
149	0.52	7.28	0	0.010	211	589	51.37	0.694	-0.250	0.505	 -0.022	 -0.022	 0.495	
150	0.52	7.54	0	0.052	204	529	102.36	0.588	1.835	0.488	 -0.006	 -0.006	 0.512	
151	0.52	7.80	0	0.095	233	519	112.45	0.363	0.166	0.482	 -0.018	 -0.018	 0.518	
152	0.52	8.06	0	0.067	219	437	113.15	-0.289	-0.676	0.488	 -0.013	 -0.013	 0.512	
153	0.52	8.32	0	0.056	212	432	118.52	-0.052	-0.553	0.492	 -0.012	 -0.012	 0.508	
154	0.52	8.58	0	0.071	203	433	116.16	-0.037	-0.621	0.489	 -0.015	 -0.015	 0.511	
155	0.52	8.84	0	0.070	205	492	116.71	0.059	-0.947	0.489	 -0.014	 -0.014	 0.511	
156	0.52	9.10	0	0.073	234	516	115.55	0.469	-0.157	0.488	 -0.015	 -0.015	 0.512	
157	0.52	9.36	0	0.057	207	436	106.71	-0.452	-0.618	0.488	 -0.008	 -0.008	 0.512	
158	0.52	9.62	0	0.075	221	493	114.26	-0.053	-0.603	0.487	 -0.015	 -0.015	 0.513	
159	0.52	9.88	0	0.072	221	495	120.41	-0.071	-0.957	0.491	 -0.016	 -0.016	 0.509	
160	0.52	10.14	0	0.059	203	410	124.89	0.143	-0.584	0.495	 -0.014	 -0.014	 0.505	
161	0.52	10.40	0	0.081	233	525	115.39	0.422	0.095	0.487	 -0.016	 -0.016	 0.513	
162	0.52	10.66	0	0.098	223	552	106.01	0.561	0.868	0.478	 -0.014	 -0.014	 0.522	
163	0.52	10.92	0	0.072	225	474	103.77	-0.319	-0.389	0.483	 -0.009	 -0.009	 0.517	
164	0.52	11.18	0	0.053	228	485	109.31	-0.049	-0.611	0.489	 -0.009	 -0.009	 0.511	
165	0.52	11.44	0	0.066	233	552	115.60	0.260	-0.641	0.489	 -0.013	 -0.013	 0.511	
166	0.52	11.70	0	0.055	255	493	117.56	0.108	-0.556	0.492	 -0.012	 -0.012	 0.508	
167	0.52	11.96	0	0.054	229	494	106.41	0.095	-0.503	0.488	 -0.007	 -0.007	 0.512	
168	0.52	12.22	0	0.050	238	484	116.24	0.014	-0.561	0.492	 -0.010	 -0.010	 0.508	
169	0.52	12.48	0	0.021	211	394	123.34	-0.531	-0.592	0.498	 -0.005	 -0.005	 0.502	
170	0.52	12.74	0	0.049	237	484	104.13	0.073	-0.263	0.489	 -0.006	 -0.006	 0.511	
171	0.52	13.00	0	0.055	238	523	106.37	0.544	1.371	0.488	 -0.008	 -0.008	 0.512	
172	0.52	13.26	0	0.051	240	451	115.42	-0.259	-0.620	0.492	 -0.010	 -0.010	 0.508	
173	0.52	13.52	0	0.050	239	478	115.75	0.057	-0.541	0.492	 -0.010	 -0.010	 0.508	
174	0.52	13.78	0	0.044	233	455	116.42	0.178	-0.605	0.493	 -0.009	 -0.009	 0.507	
175	0.52	14.04	0	0.037	230	461	110.31	-0.553	-0.212	0.493	 -0.006	 -0.006	 0.507	
176	0.52	14.30	0	0.056	231	487	108.80	0.036	-0.372	0.488	 -0.009	 -0.009	 0.512	
177	0.52	14.56	0	0.060	243	489	106.03	-0.090	0.009	0.487	 -0.008	 -0.008	 0.513	
178	0.52	14.82	0	0.039	210	464	120.19	0.296	-0.525	0.495	 -0.009	 -0.009	 0.505	
179	0.52	15.08	0	0.059	213	482	115.77	0.196	-0.583	0.491	 -0.012	 -0.012	 0.509	
180	0.52	15.34	0	0.045	233	498	113.02	0.464	0.028	0.492	 -0.008	 -0.008	 0.508	
181	0.78	0.00	0	0.010	213	425	45.46	0.331	-0.312	0.500	 -0.018	 -0.018	 0.500	
182	0.78	0.26	0	0.087	236	492	121.75	0.256	-0.539	0.490	 -0.020	 -0.020	 0.510	
183	0.78	0.52	0	0.056	216	612	52.59	-0.247	-0.497	0.496	 0.014	 0.014	 0.504	
184	0.78	0.78	0	0.075	188	367	128.56	0.256	-1.198	0.496	 -0.019	 -0.019	 0.504	
185	0.78	1.04	0	0.095	190	424	127.48	0.681	-0.409	0.494	 -0.024	 -0.024	 0.506	
186	0.78	1.30	0	0.067	190	392	125.33	0.219	-0.981	0.494	 -0.016	 -0.016	 0.506	
187	0.78	1.56	0	0.069	196	433	123.67	1.148	1.036	0.493	 -0.017	 -0.017	 0.507	
188	0.78	1.82	0	0.090	208	475	130.97	0.627	0.318	0.497	 -0.023	 -0.023	 0.503	
189	0.78	2.08	0	0.049	229	516	109.44	-0.284	-0.197	0.490	 -0.008	 -0.008	 0.510	
190	0.78	2.34	0	0.066	214	485	109.22	0.693	-0.113	0.487	 -0.011	 -0.011	 0.513	
191	0.78	2.60	0	0.083	230	481	112.30	-0.038	-0.885	0.485	 -0.015	 -0.015	 0.515	
192	0.78	2.86	0	0.010	195	482	47.19	0.028	-0.715	0.501	 -0.019	 -0.019	 0.499	
193	0.78	3.12	0	0.010	208	475	46.68	0.160	-0.720	0.501	 -0.014	 -0.014	 0.499	
194	0.78	3.38	0	0.078	214	468	117.42	0.143	-0.259	0.488	 -0.017	 -0.017	 0.512	
195	0.78	3.64	0	0.068	220	428	126.88	-0.190	-0.955	0.495	 -0.017	 -0.017	 0.505	
196	0.78	3.90	0	0.082	180	472	133.62	1.081	1.515	0.499	 -0.021	 -0.021	 0.501	
197	0.78	4.16	0	0.010	217	509	57.17	0.433	-0.311	0.508	 -0.018	 -0.018	 0.492	
198	0.78	4.42	0	0.039	191	559	89.77	-0.532	-0.239	0.490	 0.000	 0.000	 0.510	
199	0.78	4.68	0	0.067	211	468	113.65	-0.161	0.113	0.488	 -0.013	 -0.013	 0.512	
200	0.78	4.94	0	0.080	196	444	119.32	0.124	-0.819	0.489	 -0.018	 -0.018	 0.511	
201	0.78	5.20	0	0.053	220	483	106.91	-0.384	-0.247	0.489	 -0.008	 -0.008	 0.511	
202	0.78	5.46	0	0.048	196	497	134.92	-0.063	-0.178	0.500	 -0.012	 -0.012	 0.500	
203	0.78	5.72	0	0.018	207	560	118.28	0.132	-0.531	0.497	 -0.004	 -0.004	 0.503	
204	0.78	5.98	0	0.076	195	464	103.35	-0.096	-0.201	0.482	 -0.009	 -0.009	 0.518	
205	0.78	6.24	0	0.046	241	456	110.48	-0.249	-0.892	0.491	 -0.008	 -0.008	 0.509	
206	0.78	6.50	0	0.060	205	429	117.67	0.052	-0.982	0.491	 -0.013	 -0.013	 0.509	
207	0.78	6.76	0	0.037	188	488	87.57	0.015	-0.300	0.491	 0.001	 0.001	 0.509	
208	0.78	7.02	0	0.093	172	460	117.62	0.547	0.143	0.486	 -0.020	 -0.020	 0.514	
209	0.78	7.28	0	0.080	208	490	80.46	-0.419	-0.632	0.480	 0.007	 0.007	 0.520	
210	0.78	7.54	0	0.093	235	547	107.37	0.596	0.741	0.480	 -0.014	 -0.014	 0.520	
211	0.78	7.80	0	0.080	219	483	115.29	-0.084	-0.876	0.487	 -0.016	 -0.016	 0.513	
212	0.78	8.06	0	0.070	210	446	116.11	-0.024	-0.926	0.489	 -0.014	 -0.014	 0.511	
213	0.78	8.32	0	0.074	211	428	118.98	-0.021	-0.953	0.490	 -0.016	 -0.016	 0.510	
214	0.78	8.58	0	0.075	205	453	114.70	-0.069	-1.039	0.487	 -0.015	 -0.015	 0.513	
215	0.78	8.84	0	0.049	241	531	53.21	0.819	0.261	0.496	 0.012	 0.012	 0.504	
216	0.78	9.10	0	0.079	236	486	103.02	-0.500	-0.083	0.482	 -0.009	 -0.009	 0.518	
217	0.78	9.36	0	0.081	234	527	109.62	0.286	-0.212	0.484	 -0.013	 -0.013	 0.516	
218	0.78	9.62	0	0.084	222	493	114.40	-0.042	-0.821	0.486	 -0.016	 -0.016	 0.514	
219	0.78	9.88	0	0.062	217	456	111.56	-0.365	-0.806	0.488	 -0.011	 -0.011	 0.512	
220	0.78	10.14	0	0.030	205	430	116.24	-0.342	-0.697	0.495	 -0.006	 -0.006	 0.505	
221	0.78	10.40	0	0.010	253	555	45.11	-0.093	0.443	0.500	 -0.015	 -0.015	 0.500	
222	0.78	10.66	0	0.056	205	508	111.43	-0.000	-0.919	0.489	 -0.010	 -0.010	 0.511	
223	0.78	10.92	0	0.060	222	501	117.85	0.143	-1.159	0.491	 -0.013	 -0.013	 0.509	
224	0.78	11.18	0	0.180	257	841	149.56	1.954	3.692	0.524	 -0.043	 -0.043	 0.476	
225	0.78	11.44	0	0.073	243	518	111.94	0.396	0.569	0.486	 -0.013	 -0.013	 0.514	
226	0.78	11.70	0	0.070	219	489	118.07	0.157	-0.985	0.490	 -0.015	 -0.015	 0.510	
227	0.78	11.96	0	0.057	244	517	112.27	0.225	-0.668	0.490	 -0.010	 -0.010	 0.510	
228	0.78	12.22	0	0.148	265	723	102.30	0.961	0.781	0.464	 -0.017	 -0.017	 0.536	
229	0.78	12.48	0	0.023	196	398	115.83	-0.165	-1.240	0.496	 -0.005	 -0.005	 0.504	
230	0.78	12.74	0	0.049	225	562	102.13	0.656	1.597	0.489	 -0.005	 -0.005	 0.511	
231	0.78	13.00	0	0.045	244	473	116.29	-0.269	-0.888	0.493	 -0.009	 -0.009	 0.507	
232	0.78	13.26	0	0.099	240	490	105.75	-0.157	-0.792	0.478	 -0.014	 -0.014	 0.522	
233	0.78	13.52	0	0.052	252	490	90.96	-0.110	-0.598	0.487	 -0.000	 -0.000	 0.513	
234	0.78	13.78	0	0.051	224	477	117.82	0.153	-0.878	0.493	 -0.011	 -0.011	 0.507	
235	0.78	14.04	0	0.049	220	482	128.13	0.393	-0.548	0.497	 -0.012	 -0.012	 0.503	
236	0.78	14.30	0	0.064	219	517	116.11	0.241	-0.599	0.490	 -0.013	 -0.013	 0.510	
237	0.78	14.56	0	0.010	225	479	53.58	-0.001	-0.533	0.504	 -0.012	 -0.012	 0.496	
238	0.78	14.82	0	0.056	220	493	114.87	0.233	-0.268	0.491	 -0.011	 -0.011	 0.509	
239	0.78	15.08	0	0.046	217	474	121.45	0.080	-0.788	0.495	 -0.011	 -0.011	 0.505	
240	0.78	15.34	0	0.041	225	530	116.54	0.307	-0.311	0.494	 -0.008	 -0.008	 0.506	
241	1.04	0.00	0	0.061	209	425	132.47	0.104	-0.888	0.499	 -0.016	 -0.016	 0.501	
242	1.04	0.26	0	0.063	209	431	134.39	0.396	-0.118	0.500	 -0.016	 -0.016	 0.500	
243	1.04	0.52	0	0.033	220	531	48.32	0.295	0.179	0.499	 0.008	 0.008	 0.501	
244	1.04	0.78	0	0.085	205	407	140.17	0.498	-0.441	0.504	 -0.022	 -0.022	 0.496	
245	1.04	1.04	0	0.087	189	396	133.21	0.331	-0.730	0.499	 -0.023	 -0.023	 0.501	
246	1.04	1.30	1	0.409	262	2681	102.26	2.660	6.204	0.383	 -0.053	 -0.053	 0.617	
247	1.04	1.56	0	0.049	236	433	116.44	-0.209	-0.627	0.492	 -0.010	 -0.010	 0.508	
248	1.04	1.82	0	0.010	216	533	46.93	0.029	-0.602	0.501	 -0.013	 -0.013	 0.499	
249	1.04	2.08	0	0.071	236	473	101.22	0.092	-0.373	0.483	 -0.007	 -0.007	 0.517	
250	1.04	2.34	0	0.086	213	459	124.00	0.417	-0.624	0.492	 -0.021	 -0.021	 0.508	
251	1.04	2.60	0	0.038	200	487	106.90	-0.245	-0.124	0.492	 -0.005	 -0.005	 0.508	
