8	 8
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
34	0.40	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
35	0.40	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
36	0.40	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
37	0.40	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
38	0.40	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
39	0.40	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
40	0.40	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
41	0.50	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
42	0.50	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
43	0.50	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
44	0.50	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
45	0.50	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
46	0.50	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
47	0.50	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
48	0.50	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
49	0.60	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
50	0.60	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
51	0.60	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
52	0.60	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
53	0.60	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
54	0.60	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
55	0.60	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
56	0.60	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
57	0.70	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
58	0.70	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
59	0.70	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
60	0.70	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
61	0.70	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
62	0.70	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
63	0.70	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
64	0.70	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
