9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
11	 0.10	 0.10	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.10	 0.70	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
12	 0.10	 0.20	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.10	 0.60	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
13	 0.10	 0.30	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.10	 0.50	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
14	 0.10	 0.40	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.10	 0.40	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
15	 0.10	 0.50	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.10	 0.30	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
16	 0.10	 0.60	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.10	 0.20	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
17	 0.10	 0.70	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.10	 0.10	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
18	 0.10	 0.80	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.10	 0.00	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
19	 0.20	 0.00	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.20	 0.80	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
20	 0.20	 0.10	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 0.20	 0.70	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
21	 0.20	 0.20	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.20	 0.60	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
22	 0.20	 0.30	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.20	 0.50	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
23	 0.20	 0.40	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.20	 0.40	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
24	 0.20	 0.50	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.20	 0.30	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
25	 0.20	 0.60	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.20	 0.20	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
26	 0.20	 0.70	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.20	 0.10	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
27	 0.20	 0.80	 1	 0.881	 3	 65520	 65.90	 0.957	 -0.633	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637	 0.20	 0.00	 0.106	 0.129	 0.097	 0.190	 0.129	 0.637 
28	 0.30	 0.00	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 0.30	 0.80	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
29	 0.30	 0.10	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 0.30	 0.70	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
30	 0.30	 0.20	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.30	 0.60	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
31	 0.30	 0.30	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.30	 0.50	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
32	 0.30	 0.40	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.30	 0.40	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
33	 0.30	 0.50	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.30	 0.30	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
34	 0.30	 0.60	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.30	 0.20	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
35	 0.30	 0.70	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.30	 0.10	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
36	 0.30	 0.80	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.30	 0.00	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
37	 0.40	 0.00	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 0.40	 0.80	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
38	 0.40	 0.10	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.40	 0.70	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
39	 0.40	 0.20	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.40	 0.60	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
40	 0.40	 0.30	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.40	 0.50	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
41	 0.40	 0.40	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.40	 0.40	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
42	 0.40	 0.50	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.40	 0.30	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
43	 0.40	 0.60	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.40	 0.20	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
44	 0.40	 0.70	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.40	 0.10	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
45	 0.40	 0.80	 1	 0.881	 3	 65520	 62.90	 0.957	 -0.633	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595	 0.40	 0.00	 0.128	 0.138	 0.112	 0.201	 0.138	 0.595 
46	 0.50	 0.00	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 0.50	 0.80	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
47	 0.50	 0.10	 1	 0.886	 3	 65520	 32.27	 0.957	 -0.633	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178	 0.50	 0.70	 0.513	 0.155	 0.214	 0.141	 0.155	 0.178 
48	 0.50	 0.20	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 0.50	 0.60	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
49	 0.50	 0.30	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.50	 0.50	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
50	 0.50	 0.40	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.50	 0.40	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
51	 0.50	 0.50	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.50	 0.30	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
52	 0.50	 0.60	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.50	 0.20	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
53	 0.50	 0.70	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.50	 0.10	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
54	 0.50	 0.80	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.50	 0.00	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
55	 0.60	 0.00	 1	 0.886	 3	 65520	 26.41	 0.957	 -0.633	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125	 0.60	 0.80	 0.600	 0.137	 0.203	 0.111	 0.137	 0.125 
56	 0.60	 0.10	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 0.60	 0.70	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
57	 0.60	 0.20	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 0.60	 0.60	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
58	 0.60	 0.30	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.60	 0.50	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
59	 0.60	 0.40	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.60	 0.40	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
60	 0.60	 0.50	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.60	 0.30	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
61	 0.60	 0.60	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.60	 0.20	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
62	 0.60	 0.70	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.60	 0.10	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
63	 0.60	 0.80	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.60	 0.00	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
64	 0.70	 0.00	 1	 0.885	 3	 65520	 24.45	 0.957	 -0.633	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110	 0.70	 0.80	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110 
65	 0.70	 0.10	 1	 0.886	 3	 65520	 29.34	 0.957	 -0.633	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150	 0.70	 0.70	 0.557	 0.147	 0.210	 0.126	 0.147	 0.150 
66	 0.70	 0.20	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.70	 0.60	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
67	 0.70	 0.30	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.70	 0.50	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
68	 0.70	 0.40	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.70	 0.40	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
69	 0.70	 0.50	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.70	 0.30	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
70	 0.70	 0.60	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 0.70	 0.20	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
71	 0.70	 0.70	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.70	 0.10	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
72	 0.70	 0.80	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.70	 0.00	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
73	 0.80	 0.00	 1	 0.885	 3	 65520	 23.47	 0.957	 -0.633	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104	 0.80	 0.80	 0.641	 0.128	 0.191	 0.096	 0.128	 0.104 
74	 0.80	 0.10	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 0.80	 0.70	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
75	 0.80	 0.20	 1	 0.886	 3	 65520	 31.29	 0.957	 -0.633	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168	 0.80	 0.60	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168 
76	 0.80	 0.30	 1	 0.886	 3	 65520	 36.19	 0.957	 -0.633	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220	 0.80	 0.50	 0.453	 0.164	 0.214	 0.160	 0.164	 0.220 
77	 0.80	 0.40	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 0.80	 0.40	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
78	 0.80	 0.50	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.80	 0.30	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
79	 0.80	 0.60	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.80	 0.20	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
80	 0.80	 0.70	 1	 0.883	 3	 65520	 52.94	 0.957	 -0.633	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448	 0.80	 0.10	 0.224	 0.164	 0.162	 0.213	 0.164	 0.448 
81	 0.80	 0.80	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 0.80	 0.00	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
82	 0.90	 0.00	 1	 0.885	 3	 65520	 21.51	 0.957	 -0.633	 0.667	 0.121	 0.182	 0.086	 0.121	 0.091	 0.90	 0.80	 0.667	 0.121	 0.182	 0.086	 0.121	 0.091 
83	 0.90	 0.10	 1	 0.885	 3	 65520	 25.43	 0.957	 -0.633	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118	 0.90	 0.70	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118 
84	 0.90	 0.20	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 0.90	 0.60	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
85	 0.90	 0.30	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 0.90	 0.50	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
86	 0.90	 0.40	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.90	 0.40	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
87	 0.90	 0.50	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.90	 0.30	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
88	 0.90	 0.60	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.90	 0.20	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
89	 0.90	 0.70	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.90	 0.10	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
90	 0.90	 0.80	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.90	 0.00	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
91	 1.00	 0.00	 1	 0.885	 3	 65520	 20.53	 0.957	 -0.633	 0.679	 0.118	 0.176	 0.081	 0.118	 0.085	 1.00	 0.80	 0.679	 0.118	 0.176	 0.081	 0.118	 0.085 
92	 1.00	 0.10	 1	 0.885	 3	 65520	 24.45	 0.957	 -0.633	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110	 1.00	 0.70	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110 
93	 1.00	 0.20	 1	 0.886	 3	 65520	 28.36	 0.957	 -0.633	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141	 1.00	 0.60	 0.571	 0.144	 0.208	 0.121	 0.144	 0.141 
94	 1.00	 0.30	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 1.00	 0.50	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
95	 1.00	 0.40	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 1.00	 0.40	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
96	 1.00	 0.50	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 1.00	 0.30	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
97	 1.00	 0.60	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 1.00	 0.20	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
98	 1.00	 0.70	 1	 0.884	 3	 65520	 49.97	 0.957	 -0.633	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403	 1.00	 0.10	 0.259	 0.169	 0.176	 0.209	 0.169	 0.403 
99	 1.00	 0.80	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 1.00	 0.00	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
100	 1.10	 0.00	 1	 0.884	 3	 65520	 18.56	 0.957	 -0.633	 0.702	 0.112	 0.164	 0.072	 0.112	 0.074	 1.10	 0.80	 0.702	 0.112	 0.164	 0.072	 0.112	 0.074 
101	 1.10	 0.10	 1	 0.885	 3	 65520	 22.49	 0.957	 -0.633	 0.654	 0.125	 0.187	 0.091	 0.125	 0.097	 1.10	 0.70	 0.654	 0.125	 0.187	 0.091	 0.125	 0.097 
102	 1.10	 0.20	 1	 0.886	 3	 65520	 27.38	 0.957	 -0.633	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133	 1.10	 0.60	 0.586	 0.141	 0.206	 0.116	 0.141	 0.133 
103	 1.10	 0.30	 1	 0.886	 3	 65520	 31.29	 0.957	 -0.633	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168	 1.10	 0.50	 0.528	 0.152	 0.214	 0.136	 0.152	 0.168 
104	 1.10	 0.40	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 1.10	 0.40	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
105	 1.10	 0.50	 1	 0.885	 3	 65520	 40.11	 0.957	 -0.633	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267	 1.10	 0.30	 0.394	 0.169	 0.209	 0.178	 0.169	 0.267 
106	 1.10	 0.60	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 1.10	 0.20	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
107	 1.10	 0.70	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 1.10	 0.10	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
108	 1.10	 0.80	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 1.10	 0.00	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
109	 1.20	 0.00	 1	 0.884	 3	 65520	 17.57	 0.957	 -0.633	 0.714	 0.108	 0.158	 0.068	 0.108	 0.070	 1.20	 0.80	 0.714	 0.108	 0.158	 0.068	 0.108	 0.070 
110	 1.20	 0.10	 1	 0.885	 3	 65520	 21.51	 0.957	 -0.633	 0.667	 0.121	 0.182	 0.086	 0.121	 0.091	 1.20	 0.70	 0.667	 0.121	 0.182	 0.086	 0.121	 0.091 
111	 1.20	 0.20	 1	 0.885	 3	 65520	 25.43	 0.957	 -0.633	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118	 1.20	 0.60	 0.614	 0.134	 0.199	 0.106	 0.134	 0.118 
112	 1.20	 0.30	 1	 0.886	 3	 65520	 30.32	 0.957	 -0.633	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159	 1.20	 0.50	 0.542	 0.149	 0.212	 0.131	 0.149	 0.159 
113	 1.20	 0.40	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 1.20	 0.40	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
114	 1.20	 0.50	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 1.20	 0.30	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
115	 1.20	 0.60	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 1.20	 0.20	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
116	 1.20	 0.70	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 1.20	 0.10	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
117	 1.20	 0.80	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 1.20	 0.00	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
118	 1.30	 0.00	 1	 0.883	 3	 65520	 15.60	 0.957	 -0.633	 0.734	 0.102	 0.144	 0.059	 0.102	 0.061	 1.30	 0.80	 0.734	 0.102	 0.144	 0.059	 0.102	 0.061 
119	 1.30	 0.10	 1	 0.884	 3	 65520	 19.54	 0.957	 -0.633	 0.691	 0.115	 0.171	 0.077	 0.115	 0.080	 1.30	 0.70	 0.691	 0.115	 0.171	 0.077	 0.115	 0.080 
120	 1.30	 0.20	 1	 0.885	 3	 65520	 24.45	 0.957	 -0.633	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110	 1.30	 0.60	 0.627	 0.131	 0.196	 0.101	 0.131	 0.110 
