112	 179
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	
56	0.00	14.30	0	0.101	240	449	107.94	-0.151	-0.331	
57	0.00	14.56	0	0.129	235	614	103.75	0.829	1.010	
58	0.00	14.82	0	0.120	230	621	102.08	1.259	2.250	
59	0.00	15.08	0	0.123	233	571	105.60	0.574	0.355	
60	0.00	15.34	0	0.136	246	561	103.50	0.101	-0.521	
61	0.00	15.60	0	0.174	278	721	117.00	0.970	1.021	
62	0.00	15.86	0	0.134	237	559	108.11	0.020	-0.506	
63	0.00	16.12	0	0.130	226	561	107.49	0.137	-0.360	
64	0.00	16.38	0	0.123	228	547	108.02	0.176	-0.543	
65	0.00	16.64	0	0.125	232	549	105.81	0.217	-0.467	
66	0.00	16.90	0	0.126	235	561	110.09	0.188	-0.446	
67	0.00	17.16	0	0.124	219	544	106.73	0.280	-0.288	
68	0.00	17.42	0	0.124	223	551	107.65	0.328	-0.252	
69	0.00	17.68	0	0.126	211	564	106.74	0.460	-0.045	
70	0.00	17.94	0	0.119	207	563	106.54	0.686	0.488	
71	0.00	18.20	0	0.147	223	593	106.78	0.324	-0.479	
72	0.00	18.46	0	0.118	212	561	104.64	0.499	-0.087	
73	0.00	18.72	0	0.102	221	564	105.61	0.240	-0.108	
74	0.00	18.98	0	0.123	219	561	104.48	0.226	-0.359	
75	0.00	19.24	0	0.125	309	670	97.58	0.392	-1.218	
76	0.00	19.50	0	0.104	231	522	96.84	0.220	-0.887	
77	0.00	19.76	0	0.108	218	517	101.68	0.207	-0.467	
78	0.00	20.02	0	0.128	220	540	100.12	0.438	-0.614	
79	0.00	20.28	0	0.122	220	514	100.01	0.129	-0.869	
80	0.00	20.54	0	0.112	219	498	99.15	0.033	-0.900	
81	0.00	20.80	0	0.120	219	494	96.05	0.125	-1.086	
82	0.00	21.06	0	0.112	219	490	97.16	0.081	-1.208	
83	0.00	21.32	0	0.120	228	543	80.05	0.695	-0.211	
84	0.00	21.58	0	0.106	226	513	91.85	0.228	-1.027	
85	0.00	21.84	0	0.092	234	550	95.38	0.331	-0.682	
86	0.00	22.10	0	0.095	227	532	89.07	0.699	-0.401	
87	0.00	22.36	0	0.093	224	494	87.86	0.385	-0.900	
88	0.00	22.62	0	0.099	232	540	83.24	0.525	-0.311	
89	0.00	22.88	0	0.108	218	516	82.62	0.484	-0.525	
90	0.00	23.14	0	0.109	224	528	82.19	0.470	-0.335	
91	0.00	23.40	0	0.115	222	521	82.00	0.421	-0.501	
92	0.00	23.66	0	0.154	339	1218	77.51	1.031	0.912	
93	0.00	23.92	0	0.109	217	523	79.40	0.432	-0.637	
94	0.00	24.18	0	0.090	224	510	81.51	0.447	-0.841	
95	0.00	24.44	0	0.091	222	515	76.59	0.297	-0.889	
96	0.00	24.70	0	0.073	234	523	73.72	0.624	0.171	
97	0.00	24.96	0	0.093	239	521	82.88	0.312	-1.103	
98	0.00	25.22	0	0.093	223	495	79.36	0.194	-1.291	
99	0.00	25.48	0	0.102	213	485	77.67	0.039	-1.316	
100	0.00	25.74	0	0.097	215	495	81.26	0.162	-1.215	
101	0.00	26.00	0	0.096	218	514	76.03	-0.089	-1.214	
102	0.00	26.26	0	0.863	254	20544	114.77	2.855	7.083	
103	0.00	26.52	0	0.113	209	515	78.28	-0.071	-1.031	
104	0.00	26.78	0	0.109	216	527	78.72	-0.147	-1.074	
105	0.00	27.04	0	0.116	216	517	69.63	-0.338	-0.661	
106	0.00	27.30	0	0.113	236	570	82.79	0.004	-0.771	
107	0.00	27.56	0	0.127	246	589	81.13	0.165	-1.162	
108	0.00	27.82	0	0.096	228	518	81.21	-0.064	-0.855	
109	0.00	28.08	0	0.112	217	521	78.60	-0.137	-0.960	
110	0.00	28.34	0	0.110	215	518	79.43	-0.125	-0.965	
111	0.00	28.60	0	0.103	217	543	77.85	-0.346	-0.832	
112	0.00	28.86	0	0.100	225	535	75.45	-0.349	-0.933	
113	0.26	0.00	0	0.053	228	479	119.21	-0.074	-0.733	
114	0.26	0.26	0	0.074	237	523	107.15	-0.295	-0.858	
115	0.26	0.52	0	0.102	240	592	94.85	-0.068	-0.629	
116	0.26	0.78	0	0.085	307	627	103.69	0.343	-0.551	
117	0.26	1.04	0	0.092	231	552	106.54	-0.075	-0.837	
118	0.26	1.30	0	0.090	241	552	108.35	-0.213	-0.905	
119	0.26	1.56	0	0.074	226	491	106.13	-0.190	-1.001	
120	0.26	1.82	0	0.019	329	603	146.61	0.034	-0.587	
121	0.26	2.08	0	0.076	322	588	143.20	0.178	-0.559	
122	0.26	2.34	0	0.088	229	574	96.76	0.996	0.755	
123	0.26	2.60	0	0.081	233	606	102.03	1.155	0.764	
124	0.26	2.86	0	0.088	235	630	94.48	1.360	1.578	
125	0.26	3.12	0	0.097	236	602	93.44	1.412	1.829	
126	0.26	3.38	0	0.097	230	592	94.07	1.345	1.489	
127	0.26	3.64	0	0.100	227	598	93.84	1.119	0.842	
128	0.26	3.90	0	0.099	222	559	93.34	0.824	0.048	
129	0.26	4.16	0	0.095	219	558	91.16	0.657	-0.221	
130	0.26	4.42	0	0.100	228	558	93.20	0.610	-0.583	
131	0.26	4.68	0	0.097	225	528	90.46	0.358	-0.801	
132	0.26	4.94	0	0.092	238	523	91.08	0.298	-0.844	
133	0.26	5.20	0	0.096	233	509	87.77	0.154	-0.992	
134	0.26	5.46	0	0.093	238	491	86.04	0.017	-1.048	
135	0.26	5.72	0	0.101	251	528	82.82	-0.023	-1.084	
136	0.26	5.98	0	0.122	225	608	83.58	0.726	0.333	
137	0.26	6.24	0	0.123	237	608	85.67	0.330	-0.749	
138	0.26	6.50	0	0.118	227	584	81.99	0.312	-0.392	
139	0.26	6.76	0	0.119	212	555	83.16	0.108	-0.682	
140	0.26	7.02	0	0.121	212	541	82.15	-0.012	-0.786	
141	0.26	7.28	0	0.120	212	555	81.98	0.040	-0.770	
142	0.26	7.54	0	0.117	208	535	81.20	-0.191	-0.840	
143	0.26	7.80	0	0.120	205	553	80.66	-0.147	-0.778	
144	0.26	8.06	0	0.120	202	544	79.59	-0.144	-0.765	
145	0.26	8.32	0	0.125	203	532	81.44	-0.160	-0.815	
146	0.26	8.58	0	0.119	200	531	81.13	-0.138	-0.749	
147	0.26	8.84	0	0.126	207	537	82.49	0.023	-0.888	
148	0.26	9.10	0	0.123	214	543	83.27	0.074	-0.836	
149	0.26	9.36	0	0.140	209	550	81.31	0.106	-1.017	
150	0.26	9.62	0	0.131	215	557	83.05	0.133	-1.017	
151	0.26	9.88	0	0.129	218	566	85.40	0.302	-0.881	
152	0.26	10.14	0	0.121	236	577	83.61	0.431	-0.672	
153	0.26	10.40	0	0.116	229	553	87.72	0.353	-0.726	
154	0.26	10.66	0	0.123	236	549	86.96	0.396	-0.747	
155	0.26	10.92	0	0.119	235	560	88.34	0.344	-0.798	
156	0.26	11.18	0	0.117	231	545	89.45	0.261	-0.890	
157	0.26	11.44	0	0.104	253	536	92.54	0.109	-0.977	
158	0.26	11.70	0	0.106	245	549	92.64	0.175	-0.883	
159	0.26	11.96	0	0.096	244	540	92.98	0.158	-0.929	
160	0.26	12.22	0	0.109	245	556	93.57	0.057	-0.843	
161	0.26	12.48	0	0.111	241	530	94.73	0.041	-1.038	
162	0.26	12.74	0	0.097	247	515	96.20	-0.005	-1.055	
163	0.26	13.00	0	0.104	241	505	97.83	-0.063	-0.915	
164	0.26	13.26	0	0.099	245	519	97.14	-0.108	-0.767	
165	0.26	13.52	0	0.099	242	530	98.75	-0.051	-0.582	
166	0.26	13.78	0	0.088	233	495	103.05	0.113	-0.502	
167	0.26	14.04	0	0.045	227	481	106.58	-0.065	-0.875	
168	0.26	14.30	0	0.026	275	577	144.46	0.598	-0.003	
169	0.26	14.56	0	0.130	225	569	104.87	0.426	0.371	
170	0.26	14.82	0	0.119	236	573	104.99	0.427	0.247	
171	0.26	15.08	0	0.130	241	548	105.20	-0.116	-0.514	
172	0.26	15.34	0	0.119	230	550	107.10	-0.080	-0.502	
173	0.26	15.60	0	0.148	243	591	100.25	0.512	0.031	
174	0.26	15.86	0	0.123	224	523	108.46	-0.109	-0.624	
175	0.26	16.12	0	0.125	223	556	108.00	0.107	-0.401	
176	0.26	16.38	0	0.129	225	567	108.91	0.167	-0.418	
177	0.26	16.64	0	0.135	224	581	108.96	0.272	-0.412	
178	0.26	16.90	0	0.122	228	562	108.29	0.255	-0.420	
179	0.26	17.16	0	0.116	217	520	109.04	0.015	-0.566	
180	0.26	17.42	0	0.093	235	538	124.66	-0.600	-0.561	
181	0.26	17.68	0	0.113	208	554	107.31	0.240	-0.044	
182	0.26	17.94	0	0.119	224	569	107.71	0.298	-0.144	
183	0.26	18.20	0	0.117	211	569	107.72	0.499	0.110	
184	0.26	18.46	0	0.118	226	563	106.70	0.252	-0.326	
185	0.26	18.72	0	0.111	210	542	106.09	0.377	-0.082	
186	0.26	18.98	0	0.112	215	520	105.86	0.132	-0.404	
187	0.26	19.24	0	0.112	222	533	104.30	0.087	-0.638	
188	0.26	19.50	0	0.083	253	554	96.62	-0.085	-0.559	
189	0.26	19.76	0	0.107	225	543	103.37	0.223	-0.223	
190	0.26	20.02	0	0.114	214	527	101.90	0.198	-0.402	
191	0.26	20.28	0	0.116	219	501	99.09	0.061	-0.903	
192	0.26	20.54	0	0.113	252	531	91.41	0.205	-0.765	
193	0.26	20.80	0	0.117	224	517	95.89	0.092	-0.883	
194	0.26	21.06	0	0.110	229	504	94.29	0.105	-1.112	
195	0.26	21.32	0	0.144	250	813	66.92	1.929	3.229	
196	0.26	21.58	0	0.101	232	527	91.51	0.384	-0.824	
197	0.26	21.84	0	0.100	214	532	90.20	0.782	0.019	
198	0.26	22.10	0	0.080	248	503	83.43	0.546	-0.614	
199	0.26	22.36	0	0.092	233	515	86.96	0.460	-0.587	
200	0.26	22.62	0	0.095	237	549	81.79	0.660	-0.247	
201	0.26	22.88	0	0.098	218	527	80.64	0.834	0.219	
202	0.26	23.14	0	0.105	236	540	80.56	0.579	-0.401	
203	0.26	23.40	0	0.102	247	531	78.21	0.447	-0.370	
204	0.26	23.66	0	0.078	269	566	93.89	0.010	-0.992	
205	0.26	23.92	0	0.112	243	497	68.28	0.388	-1.172	
206	0.26	24.18	0	0.114	316	652	64.88	0.983	0.347	
207	0.26	24.44	0	0.073	221	497	82.82	0.235	-1.083	
208	0.26	24.70	0	0.090	231	509	73.10	0.354	-0.909	
209	0.26	24.96	0	0.088	223	495	78.83	0.202	-1.249	
210	0.26	25.22	0	0.084	223	481	75.52	0.028	-1.356	
211	0.26	25.48	0	0.075	238	495	70.90	0.131	-1.301	
212	0.26	25.74	0	0.107	224	519	78.64	0.114	-1.322	
213	0.26	26.00	0	0.113	276	551	67.92	-0.250	-0.942	
214	0.26	26.26	0	0.605	267	4842	124.40	3.143	8.878	
215	0.26	26.52	0	0.102	220	525	77.26	-0.186	-0.952	
216	0.26	26.78	0	0.095	223	506	74.90	-0.150	-1.069	
217	0.26	27.04	0	0.117	209	514	78.49	-0.135	-1.026	
218	0.26	27.30	0	0.104	231	541	76.06	-0.210	-0.881	
219	0.26	27.56	0	0.111	212	505	79.93	-0.034	-1.004	
220	0.26	27.82	0	0.105	213	512	77.65	-0.279	-0.849	
221	0.26	28.08	0	0.107	214	514	76.96	-0.228	-0.938	
222	0.26	28.34	0	0.112	212	507	76.87	-0.250	-0.905	
223	0.26	28.60	0	0.115	247	552	93.67	0.639	-0.366	
224	0.26	28.86	0	0.094	227	558	77.17	-0.255	-1.012	
225	0.52	0.00	0	0.054	227	479	116.64	-0.113	-0.748	
226	0.52	0.26	0	0.052	232	492	112.35	-0.267	-0.966	
227	0.52	0.52	0	0.160	316	707	89.89	-0.044	-1.214	
228	0.52	0.78	0	0.082	251	554	109.06	-0.093	-0.859	
229	0.52	1.04	0	0.091	244	552	110.82	-0.283	-0.830	
230	0.52	1.30	0	0.101	240	530	109.82	-0.352	-0.804	
231	0.52	1.56	0	0.078	242	502	110.31	-0.330	-0.932	
232	0.52	1.82	0	0.074	234	510	105.57	-0.119	-0.991	
233	0.52	2.08	0	0.061	356	773	76.67	1.876	2.923	
234	0.52	2.34	0	0.080	231	583	98.16	0.689	0.191	
235	0.52	2.60	0	0.084	229	567	99.51	0.665	-0.105	
236	0.52	2.86	0	0.099	256	646	95.31	1.450	1.937	
237	0.52	3.12	0	0.087	236	605	102.36	1.103	0.974	
238	0.52	3.38	0	0.082	238	597	98.72	1.171	1.143	
239	0.52	3.64	0	0.065	243	577	89.81	0.981	0.833	
240	0.52	3.90	0	0.090	231	567	94.15	0.862	0.112	
241	0.52	4.16	0	0.096	236	556	93.82	0.543	-0.580	
242	0.52	4.42	0	0.087	230	524	91.29	0.415	-0.718	
243	0.52	4.68	0	0.070	248	524	84.84	-0.106	-0.917	
244	0.52	4.94	0	0.094	237	512	90.82	0.354	-0.657	
245	0.52	5.20	0	0.093	238	505	84.47	0.302	-0.747	
246	0.52	5.46	0	0.061	279	544	76.52	0.039	-0.884	
247	0.52	5.72	0	0.059	255	473	77.72	0.394	-0.499	
248	0.52	5.98	0	0.065	274	483	78.74	0.318	-0.616	
249	0.52	6.24	0	0.088	258	558	93.27	0.175	-0.590	
250	0.52	6.50	0	0.140	227	557	74.84	0.140	-0.554	
251	0.52	6.76	0	0.092	233	554	86.15	0.090	-0.701	
252	0.52	7.02	0	0.107	207	520	82.23	-0.215	-0.886	
253	0.52	7.28	0	0.116	216	542	80.23	-0.000	-0.854	
254	0.52	7.54	0	0.118	209	540	81.08	-0.078	-0.886	
255	0.52	7.80	0	0.121	213	537	81.24	-0.037	-0.903	
256	0.52	8.06	0	0.117	213	540	81.63	0.023	-0.755	
257	0.52	8.32	0	0.112	206	530	80.51	-0.264	-0.795	
258	0.52	8.58	0	0.121	200	535	82.63	-0.028	-0.789	
259	0.52	8.84	0	0.113	204	543	82.86	-0.044	-0.761	
260	0.52	9.10	0	0.115	209	542	83.23	0.077	-0.867	
261	0.52	9.36	0	0.120	213	551	80.14	0.071	-0.861	
262	0.52	9.62	0	0.118	216	562	84.56	0.278	-0.790	
263	0.52	9.88	0	0.120	220	570	85.25	0.426	-0.676	
264	0.52	10.14	0	0.119	231	566	85.98	0.496	-0.438	
265	0.52	10.40	0	0.116	238	576	86.62	0.597	-0.334	
266	0.52	10.66	0	0.116	228	543	87.42	0.362	-0.755	
267	0.52	10.92	0	0.106	224	536	88.89	0.229	-0.953	
268	0.52	11.18	0	0.101	247	549	90.92	0.187	-0.956	
269	0.52	11.44	0	0.103	239	518	88.59	0.158	-0.956	
270	0.52	11.70	0	0.105	244	533	90.65	0.099	-0.940	
271	0.52	11.96	0	0.103	243	511	93.33	-0.006	-0.974	
272	0.52	12.22	0	0.098	242	530	95.00	-0.036	-0.958	
273	0.52	12.48	0	0.088	255	509	96.46	-0.068	-0.958	
274	0.52	12.74	0	0.097	242	498	97.44	-0.001	-0.801	
275	0.52	13.00	0	0.093	243	487	98.22	-0.177	-0.709	
276	0.52	13.26	0	0.088	261	514	96.47	-0.022	-0.745	
277	0.52	13.52	0	0.076	253	529	96.96	-0.034	-0.647	
278	0.52	13.78	0	0.071	287	577	146.50	0.551	-0.376	
279	0.52	14.04	0	0.087	266	503	98.59	-0.212	-0.743	
280	0.52	14.30	0	0.036	263	495	133.67	0.579	0.849	
281	0.52	14.56	0	0.117	227	533	106.96	0.028	-0.535	
282	0.52	14.82	0	0.109	247	543	107.78	-0.254	-0.690	
283	0.52	15.08	0	0.112	224	524	112.94	-0.454	-0.607	
284	0.52	15.34	0	0.117	241	549	110.31	-0.141	-0.599	
285	0.52	15.60	0	0.118	227	545	109.64	-0.072	-0.643	
286	0.52	15.86	0	0.122	229	541	113.12	-0.249	-0.701	
287	0.52	16.12	0	0.125	231	560	110.31	-0.256	-0.569	
288	0.52	16.38	0	0.106	227	558	108.06	0.070	-0.545	
289	0.52	16.64	0	0.110	228	539	113.41	0.037	-0.719	
290	0.52	16.90	0	0.114	222	553	110.39	0.005	-0.567	
291	0.52	17.16	0	0.095	229	548	111.02	-0.122	-0.454	
292	0.52	17.42	0	0.104	257	526	116.26	0.635	-0.075	
293	0.52	17.68	0	0.104	219	516	106.27	-0.064	-0.568	
294	0.52	17.94	0	0.103	215	487	111.19	-0.371	-0.361	
295	0.52	18.20	0	0.114	220	517	111.32	-0.157	-0.610	
296	0.52	18.46	0	0.117	217	542	107.84	0.070	-0.716	
297	0.52	18.72	0	0.098	228	541	108.35	-0.110	-0.500	
298	0.52	18.98	0	0.107	226	521	108.30	-0.098	-0.496	
299	0.52	19.24	0	0.109	214	523	107.67	-0.032	-0.468	
300	0.52	19.50	0	0.102	222	541	103.11	0.114	-0.403	
301	0.52	19.76	0	0.107	228	512	103.01	-0.109	-0.971	
302	0.52	20.02	0	0.098	213	497	104.61	-0.194	-0.202	
303	0.52	20.28	0	0.109	212	501	101.90	-0.082	-0.516	
304	0.52	20.54	0	0.100	215	503	101.43	-0.101	-0.489	
305	0.52	20.80	0	0.085	291	586	94.01	0.182	-1.153	
306	0.52	21.06	0	0.144	230	524	99.52	0.234	-1.053	
307	0.52	21.32	0	0.091	232	499	101.02	-0.021	-0.802	
308	0.52	21.58	0	0.094	221	495	92.20	0.070	-0.984	
309	0.52	21.84	0	0.079	250	524	94.92	0.230	-0.890	
310	0.52	22.10	0	0.089	234	498	89.29	0.256	-1.074	
311	0.52	22.36	0	0.089	239	512	83.23	0.414	-0.577	
312	0.52	22.62	0	0.122	261	618	81.21	0.697	-0.261	
313	0.52	22.88	0	0.078	252	524	85.54	0.471	-0.589	
314	0.52	23.14	0	0.089	237	513	84.35	0.420	-0.738	
315	0.52	23.40	0	0.091	261	543	80.87	0.364	-0.824	
316	0.52	23.66	0	0.069	268	537	77.83	0.238	-0.509	
317	0.52	23.92	0	0.083	254	547	82.74	0.177	-0.979	
318	0.52	24.18	0	0.085	242	519	82.32	0.195	-1.050	
319	0.52	24.44	0	0.076	235	491	86.17	0.245	-1.111	
320	0.52	24.70	0	0.081	226	488	75.85	-0.178	-0.982	
321	0.52	24.96	0	0.070	261	534	72.26	-0.134	-0.928	
322	0.52	25.22	0	0.077	234	488	85.37	0.137	-1.261	
323	0.52	25.48	0	0.073	229	473	75.82	-0.042	-1.308	
324	0.52	25.74	0	0.095	241	514	78.90	0.001	-1.317	
325	0.52	26.00	0	0.076	245	515	74.79	-0.092	-1.206	
326	0.52	26.26	0	0.107	234	512	93.03	0.578	-0.164	
327	0.52	26.52	0	0.095	233	519	79.71	-0.224	-1.063	
328	0.52	26.78	0	0.095	215	499	77.77	-0.203	-1.192	
329	0.52	27.04	0	0.089	219	494	79.42	-0.240	-0.989	
330	0.52	27.30	0	0.097	209	493	79.47	-0.271	-0.945	
331	0.52	27.56	0	0.100	220	520	81.85	-0.108	-1.047	
332	0.52	27.82	0	0.093	229	528	79.00	-0.280	-0.798	
333	0.52	28.08	0	0.088	220	502	79.91	-0.225	-0.882	
334	0.52	28.34	0	0.092	310	605	123.76	0.641	0.096	
335	0.52	28.60	0	0.103	223	537	78.73	-0.379	-1.008	
336	0.52	28.86	0	0.089	222	498	77.45	-0.347	-1.032	
337	0.78	0.00	0	0.052	235	507	104.64	-0.003	-0.654	
338	0.78	0.26	0	0.059	236	510	112.34	-0.041	-0.934	
339	0.78	0.52	0	0.077	245	516	112.59	-0.153	-0.886	
340	0.78	0.78	0	0.076	247	514	110.90	-0.125	-0.658	
341	0.78	1.04	0	0.064	251	503	108.24	-0.160	-0.766	
342	0.78	1.30	0	0.075	269	524	96.89	-0.290	-0.889	
343	0.78	1.56	0	0.065	249	504	90.50	-0.205	-0.883	
344	0.78	1.82	0	0.074	240	534	113.24	-0.087	-0.852	
345	0.78	2.08	0	0.088	230	556	104.48	0.339	-0.452	
346	0.78	2.34	0	0.081	228	554	102.62	0.378	-0.539	
347	0.78	2.60	0	0.091	249	577	108.29	0.346	-0.789	
348	0.78	2.86	0	0.071	235	529	102.28	0.367	-0.794	
349	0.78	3.12	0	0.085	235	604	93.71	1.432	1.568	
350	0.78	3.38	0	0.079	234	563	99.95	0.695	-0.243	
351	0.78	3.64	0	0.085	235	566	97.77	0.747	-0.040	
352	0.78	3.90	0	0.081	232	526	96.91	0.729	-0.127	
353	0.78	4.16	0	0.099	231	533	96.71	0.601	-0.506	
354	0.78	4.42	0	0.117	290	677	60.37	-0.130	-1.152	
355	0.78	4.68	0	0.080	243	532	89.74	0.343	-0.545	
356	0.78	4.94	0	0.060	238	485	87.67	0.481	-0.299	
357	0.78	5.20	0	0.066	279	489	79.28	0.419	0.136	
358	0.78	5.46	0	0.090	281	601	72.90	0.116	0.018	
359	0.78	5.72	0	0.111	260	605	78.81	0.407	-0.173	
360	0.78	5.98	0	0.043	292	574	47.61	0.201	-0.630	
361	0.78	6.24	0	0.098	219	536	83.83	-0.053	-0.784	
362	0.78	6.50	0	0.103	222	555	81.84	0.201	-0.275	
363	0.78	6.76	0	0.106	215	522	83.24	0.045	-0.747	
364	0.78	7.02	0	0.104	204	520	83.37	-0.075	-0.804	
365	0.78	7.28	0	0.100	216	521	80.11	-0.230	-0.740	
366	0.78	7.54	0	0.101	215	510	80.85	-0.202	-0.965	
367	0.78	7.80	0	0.119	201	519	81.10	-0.214	-0.925	
368	0.78	8.06	0	0.108	209	526	81.70	-0.101	-0.889	
369	0.78	8.32	0	0.116	218	546	84.03	-0.001	-1.017	
370	0.78	8.58	0	0.102	207	520	81.73	-0.063	-0.961	
371	0.78	8.84	0	0.106	212	521	81.47	0.048	-0.848	
372	0.78	9.10	0	0.102	206	532	84.15	0.064	-0.913	
373	0.78	9.36	0	0.107	214	529	82.60	0.154	-0.871	
374	0.78	9.62	0	0.104	212	525	84.18	0.234	-0.899	
375	0.78	9.88	0	0.115	219	543	85.69	0.331	-0.738	
376	0.78	10.14	0	0.103	228	545	86.25	0.271	-0.861	
377	0.78	10.40	0	0.102	226	510	87.02	0.284	-0.831	
378	0.78	10.66	0	0.099	232	505	86.56	0.202	-0.925	
379	0.78	10.92	0	0.105	234	523	87.76	0.254	-0.933	
380	0.78	11.18	0	0.099	239	509	90.62	0.171	-0.947	
381	0.78	11.44	0	0.095	242	512	92.55	0.083	-0.831	
382	0.78	11.70	0	0.207	299	915	133.09	1.251	0.783	
383	0.78	11.96	0	0.099	244	543	93.84	-0.013	-0.903	
384	0.78	12.22	0	0.092	241	502	95.25	0.006	-0.694	
385	0.78	12.48	0	0.088	247	488	97.59	-0.052	-0.772	
386	0.78	12.74	0	0.092	244	495	96.86	0.003	-0.795	
387	0.78	13.00	0	0.088	262	509	94.76	-0.079	-0.789	
388	0.78	13.26	0	0.092	253	497	102.54	-0.367	-0.477	
389	0.78	13.52	0	0.084	252	505	103.95	-0.219	-0.699	
390	0.78	13.78	0	0.096	244	554	104.62	0.140	-0.591	
391	0.78	14.04	0	0.097	247	537	106.19	-0.210	-0.847	
392	0.78	14.30	0	0.103	237	583	105.67	0.681	-0.054	
393	0.78	14.56	0	0.090	238	561	105.01	0.383	0.162	
394	0.78	14.82	0	0.109	253	528	109.97	-0.385	-0.768	
395	0.78	15.08	0	0.108	239	514	110.67	-0.292	-0.698	
396	0.78	15.34	0	0.109	255	539	108.51	-0.199	-0.745	
397	0.78	15.60	0	0.108	234	515	111.94	-0.287	-0.718	
398	0.78	15.86	0	0.103	230	515	111.13	-0.255	-0.725	
399	0.78	16.12	0	0.102	226	513	115.74	-0.334	-0.688	
400	0.78	16.38	0	0.105	228	509	111.27	-0.151	-0.727	
401	0.78	16.64	0	0.093	222	497	112.68	-0.185	-0.669	
402	0.78	16.90	0	0.089	209	489	114.56	-0.123	-0.603	
403	0.78	17.16	0	0.102	210	526	115.15	-0.130	-0.702	
404	0.78	17.42	0	0.102	213	520	114.12	-0.084	-0.792	
405	0.78	17.68	0	0.096	216	493	110.10	-0.038	-0.674	
