9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	
60	0.60	0.50	1	0.886	3	65520	37.16	0.957	-0.633	
61	0.60	0.60	1	0.885	3	65520	41.09	0.957	-0.633	
62	0.60	0.70	1	0.884	3	65520	46.01	0.957	-0.633	
63	0.60	0.80	1	0.884	3	65520	49.97	0.957	-0.633	
64	0.70	0.00	1	0.883	3	65520	14.61	0.957	-0.633	
65	0.70	0.10	1	0.884	3	65520	18.56	0.957	-0.633	
66	0.70	0.20	1	0.885	3	65520	23.47	0.957	-0.633	
67	0.70	0.30	1	0.886	3	65520	27.38	0.957	-0.633	
68	0.70	0.40	1	0.886	3	65520	31.29	0.957	-0.633	
69	0.70	0.50	1	0.886	3	65520	36.19	0.957	-0.633	
70	0.70	0.60	1	0.885	3	65520	40.11	0.957	-0.633	
71	0.70	0.70	1	0.885	3	65520	44.04	0.957	-0.633	
72	0.70	0.80	1	0.884	3	65520	47.99	0.957	-0.633	
73	0.80	0.00	1	0.882	3	65520	13.62	0.957	-0.633	
74	0.80	0.10	1	0.884	3	65520	17.57	0.957	-0.633	
75	0.80	0.20	1	0.885	3	65520	21.51	0.957	-0.633	
76	0.80	0.30	1	0.886	3	65520	26.41	0.957	-0.633	
77	0.80	0.40	1	0.886	3	65520	30.32	0.957	-0.633	
78	0.80	0.50	1	0.886	3	65520	34.23	0.957	-0.633	
79	0.80	0.60	1	0.886	3	65520	38.14	0.957	-0.633	
80	0.80	0.70	1	0.885	3	65520	43.06	0.957	-0.633	
81	0.80	0.80	1	0.884	3	65520	47.00	0.957	-0.633	
82	0.90	0.00	1	0.882	3	65520	11.63	0.957	-0.633	
83	0.90	0.10	1	0.883	3	65520	15.60	0.957	-0.633	
84	0.90	0.20	1	0.885	3	65520	20.53	0.957	-0.633	
85	0.90	0.30	1	0.885	3	65520	24.45	0.957	-0.633	
86	0.90	0.40	1	0.886	3	65520	28.36	0.957	-0.633	
87	0.90	0.50	1	0.886	3	65520	33.25	0.957	-0.633	
88	0.90	0.60	1	0.886	3	65520	37.16	0.957	-0.633	
89	0.90	0.70	1	0.885	3	65520	41.09	0.957	-0.633	
90	0.90	0.80	1	0.885	3	65520	45.03	0.957	-0.633	
91	1.00	0.00	1	0.881	3	65520	10.63	0.957	-0.633	
92	1.00	0.10	1	0.883	3	65520	14.61	0.957	-0.633	
93	1.00	0.20	1	0.884	3	65520	18.56	0.957	-0.633	
94	1.00	0.30	1	0.885	3	65520	23.47	0.957	-0.633	
95	1.00	0.40	1	0.886	3	65520	27.38	0.957	-0.633	
96	1.00	0.50	1	0.886	3	65520	31.29	0.957	-0.633	
97	1.00	0.60	1	0.886	3	65520	35.21	0.957	-0.633	
98	1.00	0.70	1	0.885	3	65520	40.11	0.957	-0.633	
99	1.00	0.80	1	0.885	3	65520	44.04	0.957	-0.633	
100	1.10	0.00	1	0.881	3	65520	8.63	0.957	-0.633	
101	1.10	0.10	1	0.882	3	65520	12.62	0.957	-0.633	
102	1.10	0.20	1	0.884	3	65520	17.57	0.957	-0.633	
103	1.10	0.30	1	0.885	3	65520	21.51	0.957	-0.633	
104	1.10	0.40	1	0.885	3	65520	25.43	0.957	-0.633	
105	1.10	0.50	1	0.886	3	65520	30.32	0.957	-0.633	
106	1.10	0.60	1	0.886	3	65520	34.23	0.957	-0.633	
107	1.10	0.70	1	0.886	3	65520	38.14	0.957	-0.633	
108	1.10	0.80	1	0.885	3	65520	42.07	0.957	-0.633	
109	1.20	0.00	1	0.880	3	65520	7.63	0.957	-0.633	
110	1.20	0.10	1	0.882	3	65520	11.63	0.957	-0.633	
111	1.20	0.20	1	0.883	3	65520	15.60	0.957	-0.633	
112	1.20	0.30	1	0.885	3	65520	20.53	0.957	-0.633	
113	1.20	0.40	1	0.885	3	65520	24.45	0.957	-0.633	
114	1.20	0.50	1	0.886	3	65520	28.36	0.957	-0.633	
115	1.20	0.60	1	0.886	3	65520	32.27	0.957	-0.633	
116	1.20	0.70	1	0.886	3	65520	37.16	0.957	-0.633	
117	1.20	0.80	1	0.885	3	65520	41.09	0.957	-0.633	
118	1.30	0.00	1	0.879	3	65520	5.62	0.957	-0.633	
119	1.30	0.10	1	0.881	3	65520	9.63	0.957	-0.633	
120	1.30	0.20	1	0.883	3	65520	14.61	0.957	-0.633	
121	1.30	0.30	1	0.884	3	65520	18.56	0.957	-0.633	
122	1.30	0.40	1	0.885	3	65520	22.49	0.957	-0.633	
123	1.30	0.50	1	0.886	3	65520	27.38	0.957	-0.633	
124	1.30	0.60	1	0.886	3	65520	31.29	0.957	-0.633	
125	1.30	0.70	1	0.886	3	65520	35.21	0.957	-0.633	
126	1.30	0.80	1	0.885	3	65520	40.11	0.957	-0.633	
127	1.40	0.00	1	0.879	3	65520	4.62	0.957	-0.633	
128	1.40	0.10	1	0.881	3	65520	8.63	0.957	-0.633	
129	1.40	0.20	1	0.882	3	65520	12.62	0.957	-0.633	
130	1.40	0.30	1	0.884	3	65520	17.57	0.957	-0.633	
131	1.40	0.40	1	0.885	3	65520	21.51	0.957	-0.633	
132	1.40	0.50	1	0.885	3	65520	25.43	0.957	-0.633	
133	1.40	0.60	1	0.886	3	65520	29.34	0.957	-0.633	
134	1.40	0.70	1	0.886	3	65520	34.23	0.957	-0.633	
135	1.40	0.80	1	0.886	3	65520	38.14	0.957	-0.633	
136	1.50	0.00	1	0.878	3	65520	2.60	0.957	-0.633	
137	1.50	0.10	1	0.880	3	65520	6.63	0.957	-0.633	
138	1.50	0.20	1	0.882	3	65520	11.63	0.957	-0.633	
139	1.50	0.30	1	0.883	3	65520	15.60	0.957	-0.633	
140	1.50	0.40	1	0.884	3	65520	19.54	0.957	-0.633	
141	1.50	0.50	1	0.885	3	65520	24.45	0.957	-0.633	
142	1.50	0.60	1	0.886	3	65520	28.36	0.957	-0.633	
143	1.50	0.70	1	0.886	3	65520	32.27	0.957	-0.633	
144	1.50	0.80	1	0.886	3	65520	36.19	0.957	-0.633	
145	1.60	0.00	1	0.878	3	65520	1.59	0.957	-0.633	
146	1.60	0.10	1	0.879	3	65520	5.62	0.957	-0.633	
147	1.60	0.20	1	0.881	3	65520	9.63	0.957	-0.633	
148	1.60	0.30	1	0.883	3	65520	14.61	0.957	-0.633	
149	1.60	0.40	1	0.884	3	65520	18.56	0.957	-0.633	
150	1.60	0.50	1	0.885	3	65520	22.49	0.957	-0.633	
151	1.60	0.60	1	0.886	3	65520	26.41	0.957	-0.633	
152	1.60	0.70	1	0.886	3	65520	31.29	0.957	-0.633	
153	1.60	0.80	1	0.886	3	65520	35.21	0.957	-0.633	
154	1.70	0.00	1	0.877	3	65520	179.56	0.957	-0.633	
155	1.70	0.10	1	0.879	3	65520	3.61	0.957	-0.633	
156	1.70	0.20	1	0.881	3	65520	8.63	0.957	-0.633	
157	1.70	0.30	1	0.882	3	65520	12.62	0.957	-0.633	
158	1.70	0.40	1	0.883	3	65520	16.59	0.957	-0.633	
159	1.70	0.50	1	0.885	3	65520	21.51	0.957	-0.633	
160	1.70	0.60	1	0.885	3	65520	25.43	0.957	-0.633	
161	1.70	0.70	1	0.886	3	65520	29.34	0.957	-0.633	
162	1.70	0.80	1	0.886	3	65520	33.25	0.957	-0.633	
163	1.80	0.00	1	0.877	3	65520	178.55	0.957	-0.633	
164	1.80	0.10	1	0.878	3	65520	2.60	0.957	-0.633	
165	1.80	0.20	1	0.880	3	65520	6.63	0.957	-0.633	
166	1.80	0.30	1	0.882	3	65520	11.63	0.957	-0.633	
167	1.80	0.40	1	0.883	3	65520	15.60	0.957	-0.633	
168	1.80	0.50	1	0.884	3	65520	19.54	0.957	-0.633	
169	1.80	0.60	1	0.885	3	65520	23.47	0.957	-0.633	
170	1.80	0.70	1	0.886	3	65520	28.36	0.957	-0.633	
171	1.80	0.80	1	0.886	3	65520	32.27	0.957	-0.633	
172	1.90	0.00	1	0.876	3	65520	176.52	0.957	-0.633	
173	1.90	0.10	1	0.877	3	65520	0.58	0.957	-0.633	
174	1.90	0.20	1	0.879	3	65520	5.62	0.957	-0.633	
175	1.90	0.30	1	0.881	3	65520	9.63	0.957	-0.633	
176	1.90	0.40	1	0.882	3	65520	13.62	0.957	-0.633	
177	1.90	0.50	1	0.884	3	65520	18.56	0.957	-0.633	
178	1.90	0.60	1	0.885	3	65520	22.49	0.957	-0.633	
179	1.90	0.70	1	0.886	3	65520	26.41	0.957	-0.633	
180	1.90	0.80	1	0.886	3	65520	30.32	0.957	-0.633	
